Model,API Success Rate,Task Success Rate,Strict Success Rate,Median Task-Success Duration (s),Median Observed Output Tokens/s,,LFM Successful Duration,dots Successful Duration,MiniMax Successful Duration,,,,MiniMax Successful TPS
LFM 2.5-2.6B,100.0%,0.0%,0.0%,N/A,N/A,,8.215,7.056,14.606,,,,12.94
dots-3-note-preview:free,100.0%,33.3%,33.3%,7.056,113.385,,,,9.818,,,,24.953
minimax,100.0%,100.0%,33.3%,14.606,12.94,,,,15.886,,,,12.589
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Model,Main Failure Pattern,Evidence,Product Meaning,Recommended Action,,,,,,,,,
LFM,Output truncation / empty visible response,"3/3 API calls returned success, but 0/3 achieved task success; all three reached the configured output-token ceiling and ended with finish_reason=length, while no usable visible response was returned.",API-level success overstates actual usability. A developer could receive a technically successful API response without obtaining a usable answer.,"Inspect response structure and token accounting, test with a higher output ceiling, and determine whether reasoning tokens or provider/model behavior are consuming the generation budget before visible content is returned.",,,,,,,,,
dots,Inconsistent completion behavior,"3/3 API calls succeeded, but only 1/3 produced a normally completed visible response; failed task runs hit the output-token ceiling, while the successful run ended with finish_reason=stop.",Developers may experience unpredictable task completion despite apparently healthy API-level reliability.,Re-run with additional samples and inspect token usage/response structure to determine why identical prompts alternate between truncated and normally completed responses.,,,,,,,,,
MiniMax,Length instruction non-compliance,"3/3 requests completed normally, but only 1/3 stayed within the requested 100–150-word range; observed word counts were 153 / 182 / 150.","The model reliably returns usable responses, but inconsistent constraint following may create additional post-processing or validation requirements for applications with strict output specifications.","Test stricter prompting and structured-output constraints, then repeat the experiment with a larger sample to measure whether compliance improves.",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Executive Summary,,,,,,,,,,,,,
"Finding 1 — Reliability. 

All three models achieved 100% API-level success in this small test, but task-level completion differed substantially (0% / 33.3% / 100%), showing that API success alone was insufficient to represent actual usability.",,,,,,,,,,,,,
"Finding 2 — Failure mode. LFM and dots showed cases where requests were technically successful but did not produce normally completed visible responses, indicating that completion behavior and token limits require further investigation.",,,,,,,,,,,,,
"Finding 3 — Trade-off. MiniMax demonstrated the strongest task completion reliability, while dots showed faster observed output delivery on its successful sample; however, the sample size is too small for a general model-performance ranking.",,,,,,,,,,,,,
