timestamp,run,model_id,model_label,input_tokens,output_tokens,total_tokens,duration_seconds,observed_output_tokens_per_second,word_count,length_compliance,status,error
2026-09-02T16:29:54,1,liquid/lfm-2.5-2.6b:free,LFM 2.5-2.6B,30,300,330,4.779,62.773,0,no,success,
2026-09-02T16:29:57,1,dots-studio/dots-3-note-preview:free,dots-3-note-preview:free,39,300,339,3.863,77.668,116,yes,success,
2026-09-02T16:30:09,1,z-ai/glm-5.2:free,glm-5.2:free,0,0,0,11.993,0,0,no,error,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'z-ai/glm-5.2:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Decart', 'is_byok': False, 'provider_error_code': 'upstream_429', 'limit_source': 'upstream_provider_shared_pool', 'remedy_hint': 'Retry shortly, add your own provider key (https://openrouter.ai/settings/integrations), or route to another provider with provider routing: https://openrouter.ai/docs/features/provider-routing', 'retry_after_seconds': 5, 'retry_after_seconds_raw': 5, 'headers': {'Retry-After': '5'}}}, 'user_id': 'user_3IWYMdXt5xI7TNkiOPYmP0N8RPh'}"
2026-09-02T16:30:13,2,liquid/lfm-2.5-2.6b:free,LFM 2.5-2.6B,30,300,330,3.8,78.938,0,no,success,
2026-09-02T16:30:17,2,dots-studio/dots-3-note-preview:free,dots-3-note-preview:free,39,300,339,3.788,79.193,93,no,success,
2026-09-02T16:30:29,2,z-ai/glm-5.2:free,glm-5.2:free,0,0,0,12.17,0,0,no,error,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'z-ai/glm-5.2:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Decart', 'is_byok': False, 'provider_error_code': 'upstream_429', 'limit_source': 'upstream_provider_shared_pool', 'remedy_hint': 'Retry shortly, add your own provider key (https://openrouter.ai/settings/integrations), or route to another provider with provider routing: https://openrouter.ai/docs/features/provider-routing', 'retry_after_seconds': 5, 'retry_after_seconds_raw': 5, 'headers': {'Retry-After': '5'}}}, 'user_id': 'user_3IWYMdXt5xI7TNkiOPYmP0N8RPh'}"
2026-09-02T16:30:36,3,liquid/lfm-2.5-2.6b:free,LFM 2.5-2.6B,30,300,330,6.846,43.822,0,no,success,
2026-09-02T16:30:39,3,dots-studio/dots-3-note-preview:free,dots-3-note-preview:free,39,300,339,3.448,87.007,0,no,success,
2026-09-02T16:30:51,3,z-ai/glm-5.2:free,glm-5.2:free,0,0,0,11.98,0,0,no,error,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'z-ai/glm-5.2:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Decart', 'is_byok': False, 'provider_error_code': 'upstream_429', 'limit_source': 'upstream_provider_shared_pool', 'remedy_hint': 'Retry shortly, add your own provider key (https://openrouter.ai/settings/integrations), or route to another provider with provider routing: https://openrouter.ai/docs/features/provider-routing', 'retry_after_seconds': 5, 'retry_after_seconds_raw': 5, 'headers': {'Retry-After': '5'}}}, 'user_id': 'user_3IWYMdXt5xI7TNkiOPYmP0N8RPh'}"
2026-09-02T16:30:54,4,liquid/lfm-2.5-2.6b:free,LFM 2.5-2.6B,30,300,330,2.519,119.098,0,no,success,
2026-09-02T16:30:58,4,dots-studio/dots-3-note-preview:free,dots-3-note-preview:free,39,300,339,4.084,73.462,122,yes,success,
2026-09-02T16:31:10,4,z-ai/glm-5.2:free,glm-5.2:free,0,0,0,12.153,0,0,no,error,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'z-ai/glm-5.2:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Decart', 'is_byok': False, 'provider_error_code': 'upstream_429', 'limit_source': 'upstream_provider_shared_pool', 'remedy_hint': 'Retry shortly, add your own provider key (https://openrouter.ai/settings/integrations), or route to another provider with provider routing: https://openrouter.ai/docs/features/provider-routing', 'retry_after_seconds': 5, 'retry_after_seconds_raw': 5, 'headers': {'Retry-After': '5'}}}, 'user_id': 'user_3IWYMdXt5xI7TNkiOPYmP0N8RPh'}"
2026-09-02T16:31:13,5,liquid/lfm-2.5-2.6b:free,LFM 2.5-2.6B,30,300,330,2.999,100.028,0,no,success,
2026-09-02T16:31:17,5,dots-studio/dots-3-note-preview:free,dots-3-note-preview:free,39,300,339,4.03,74.45,120,yes,success,
2026-09-02T16:31:29,5,z-ai/glm-5.2:free,glm-5.2:free,0,0,0,11.99,0,0,no,error,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'z-ai/glm-5.2:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Decart', 'is_byok': False, 'provider_error_code': 'upstream_429', 'limit_source': 'upstream_provider_shared_pool', 'remedy_hint': 'Retry shortly, add your own provider key (https://openrouter.ai/settings/integrations), or route to another provider with provider routing: https://openrouter.ai/docs/features/provider-routing', 'retry_after_seconds': 5, 'retry_after_seconds_raw': 5, 'headers': {'Retry-After': '5'}}}, 'user_id': 'user_3IWYMdXt5xI7TNkiOPYmP0N8RPh'}"
